epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
79,2609.66,0,1,1,0.31323,0.006139,0.006139,0.006139
80,2642.36,0,1,1,0.31323,0.0060895,0.0060895,0.0060895
81,2674.96,0,1,1,0.31323,0.00604,0.00604,0.00604
82,2707.71,0,1,1,0.31323,0.0059905,0.0059905,0.0059905
83,2742.33,0,1,1,0.31323,0.005941,0.005941,0.005941
84,2775.27,0,1,1,0.31323,0.0058915,0.0058915,0.0058915
85,2807.8,0,1,1,0.31323,0.005842,0.005842,0.005842
86,2840.46,0,1,1,0.31323,0.0057925,0.0057925,0.0057925
87,2873.1,0,1,1,0.31323,0.005743,0.005743,0.005743
88,2906.84,0,1,1,0.31323,0.0056935,0.0056935,0.0056935
89,2939.21,0,1,1,0.31323,0.005644,0.005644,0.005644
90,2971.54,0,1,1,0.31323,0.0055945,0.0055945,0.0055945
91,3003.82,0,1,1,0.31323,0.005545,0.005545,0.005545
92,3037.83,0,1,1,0.31323,0.0054955,0.0054955,0.0054955
93,3070.39,0,1,1,0.31323,0.005446,0.005446,0.005446
94,3102.96,0,1,1,0.31323,0.0053965,0.0053965,0.0053965
95,3136.42,0,1,1,0.31323,0.005347,0.005347,0.005347
96,3169.04,0,1,1,0.31323,0.0052975,0.0052975,0.0052975
97,3203.36,0,1,1,0.31323,0.005248,0.005248,0.005248
98,3236.03,0,1,1,0.31323,0.0051985,0.0051985,0.0051985
99,3268.56,0,1,1,0.31323,0.005149,0.005149,0.005149
100,3301.22,0,1,1,0.31323,0.0050995,0.0050995,0.0050995
101,3335.23,0,1,1,0.31323,0.00505,0.00505,0.00505
102,3368,0,1,1,0.31323,0.0050005,0.0050005,0.0050005
103,3400.79,0,1,1,0.31323,0.004951,0.004951,0.004951
104,3433.66,0,1,1,0.31323,0.0049015,0.0049015,0.0049015
105,3467.87,0,1,1,0.31323,0.004852,0.004852,0.004852
106,3500.82,0,1,1,0.31323,0.0048025,0.0048025,0.0048025
107,3533.47,0,1,1,0.31323,0.004753,0.004753,0.004753
108,3566.08,0,1,1,0.31323,0.0047035,0.0047035,0.0047035
109,3600.09,0,1,1,0.31323,0.004654,0.004654,0.004654
110,3631.93,0,1,1,0.31323,0.0046045,0.0046045,0.0046045
