epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,37.264,2.44029,0.33617,0.75319,2.40088,0.000235856,0.000235856,0.000235856
2,66.3078,2.21313,0.46809,0.89362,2.24268,0.000469165,0.000469165,0.000469165
3,95.8293,2.02078,0.44681,0.88511,2.26367,0.000697761,0.000697761,0.000697761
4,124.751,1.8759,0.4766,0.90213,2.23535,0.000692794,0.000692794,0.000692794
5,154.127,1.74689,0.55745,0.9234,2.14014,0.000685726,0.000685726,0.000685726
6,183.788,1.61129,0.58723,0.94043,2.13867,0.000678657,0.000678657,0.000678657
7,212.576,1.52748,0.65957,0.97447,2.13623,0.000671588,0.000671588,0.000671588
8,241.007,1.40805,0.63404,0.9617,2.12549,0.00066452,0.00066452,0.00066452
9,269.663,1.35963,0.59149,0.93191,2.13574,0.000657451,0.000657451,0.000657451
10,298.894,1.23026,0.61277,0.93191,2.10645,0.000650383,0.000650383,0.000650383
11,329.026,1.19302,0.62128,0.93191,2.17871,0.000643314,0.000643314,0.000643314
12,359.285,1.1776,0.71064,0.93617,2.06006,0.000636245,0.000636245,0.000636245
13,388.463,1.08716,0.69362,0.94043,2.05664,0.000629177,0.000629177,0.000629177
14,416.919,1.02596,0.62128,0.92766,2.10254,0.000622108,0.000622108,0.000622108
15,447.596,0.95818,0.65957,0.94468,2.06787,0.00061504,0.00061504,0.00061504
16,478.387,0.94517,0.69362,0.91489,2.06641,0.000607971,0.000607971,0.000607971
17,508.163,0.90791,0.66809,0.94043,2.09131,0.000600902,0.000600902,0.000600902
18,537.595,0.8675,0.65957,0.94894,2.10889,0.000593834,0.000593834,0.000593834
19,567.375,0.82767,0.6766,0.94894,2.03418,0.000586765,0.000586765,0.000586765
20,596.331,0.77485,0.71064,0.93617,2.04126,0.000579697,0.000579697,0.000579697
21,627.255,0.73192,0.69362,0.94468,2.0542,0.000572628,0.000572628,0.000572628
22,657.104,0.71763,0.73617,0.9617,2.02222,0.000565559,0.000565559,0.000565559
23,686.276,0.6791,0.6766,0.9617,2.0835,0.000558491,0.000558491,0.000558491
24,715.375,0.63785,0.68085,0.94468,2.03296,0.000551422,0.000551422,0.000551422
25,744.958,0.61674,0.64255,0.91489,2.09082,0.000544354,0.000544354,0.000544354
26,773.566,0.64051,0.63404,0.93191,2.08594,0.000537285,0.000537285,0.000537285
27,804.303,0.57903,0.64681,0.92766,2.04541,0.000530216,0.000530216,0.000530216
28,832.465,0.55678,0.68085,0.93191,2.06982,0.000523148,0.000523148,0.000523148
29,861.354,0.53094,0.63404,0.92766,2.052,0.000516079,0.000516079,0.000516079
30,891.231,0.47983,0.66809,0.94043,2.03345,0.000509011,0.000509011,0.000509011
31,920.821,0.48016,0.66809,0.94894,2.06836,0.000501942,0.000501942,0.000501942
32,949.046,0.44352,0.57021,0.9234,2.11475,0.000494873,0.000494873,0.000494873
33,978.389,0.4783,0.64255,0.89787,2.06299,0.000487805,0.000487805,0.000487805
34,1008.19,0.41976,0.62553,0.9234,2.05933,0.000480736,0.000480736,0.000480736
35,1038.19,0.42726,0.58298,0.89362,2.11035,0.000473668,0.000473668,0.000473668
36,1068.21,0.36684,0.64255,0.92766,2.07422,0.000466599,0.000466599,0.000466599
37,1097.8,0.42753,0.64681,0.92766,2.0542,0.00045953,0.00045953,0.00045953
