epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.6524,2.43266,0.34468,0.77447,2.3877,0.00331825,0.00331825,0.00331825
2,56.8588,2.27176,0.30638,0.76596,2.3584,0.00661866,0.00661866,0.00661866
3,81.4566,2.13461,0.31489,0.6766,2.40308,0.00988607,0.00988607,0.00988607
4,105.979,2.13286,0.44681,0.86809,2.28174,0.0098515,0.0098515,0.0098515
5,130.628,2.11134,0.41702,0.87234,2.31323,0.009802,0.009802,0.009802
6,154.921,2.10369,0.12766,0.63404,2.45386,0.0097525,0.0097525,0.0097525
7,179.142,2.02605,0.39149,0.84681,2.31445,0.009703,0.009703,0.009703
8,203.388,1.95195,0.42553,0.86809,2.34741,0.0096535,0.0096535,0.0096535
9,227.812,1.93253,0.34043,0.86809,2.29346,0.009604,0.009604,0.009604
10,252.017,1.84926,0.48511,0.90213,2.23364,0.0095545,0.0095545,0.0095545
11,276.719,1.81676,0.51064,0.91915,2.26147,0.009505,0.009505,0.009505
12,301.594,1.73229,0.39574,0.80851,2.32349,0.0094555,0.0094555,0.0094555
13,325.967,1.68407,0.49787,0.91064,2.18445,0.009406,0.009406,0.009406
14,350.394,1.65771,0.40426,0.94043,2.22119,0.0093565,0.0093565,0.0093565
15,374.752,1.57717,0.54468,0.90213,2.21729,0.009307,0.009307,0.009307
16,399.27,1.57136,0.54468,0.94468,2.2334,0.0092575,0.0092575,0.0092575
17,424.096,1.49256,0.55319,0.94468,2.15674,0.009208,0.009208,0.009208
18,448.814,1.50788,0.48511,0.90213,2.24609,0.0091585,0.0091585,0.0091585
19,472.884,1.44536,0.59149,0.94043,2.13037,0.009109,0.009109,0.009109
20,497.695,1.3648,0.65532,0.94043,2.15942,0.0090595,0.0090595,0.0090595
21,522.23,1.35781,0.56596,0.92766,2.17456,0.00901,0.00901,0.00901
22,546.588,1.30382,0.60426,0.94043,2.15601,0.0089605,0.0089605,0.0089605
23,570.943,1.2725,0.51064,0.88511,2.229,0.008911,0.008911,0.008911
24,595.207,1.22195,0.55319,0.89362,2.19385,0.0088615,0.0088615,0.0088615
25,619.556,1.2114,0.5234,0.91064,2.1731,0.008812,0.008812,0.008812
26,643.759,1.17445,0.50638,0.91064,2.19092,0.0087625,0.0087625,0.0087625
27,668.143,1.14047,0.5617,0.9234,2.15601,0.008713,0.008713,0.008713
28,692.47,1.13576,0.52766,0.90638,2.19287,0.0086635,0.0086635,0.0086635
29,716.856,1.06264,0.5617,0.94894,2.20239,0.008614,0.008614,0.008614
30,741.221,1.04595,0.5617,0.91915,2.17505,0.0085645,0.0085645,0.0085645
31,765.564,1.01137,0.51915,0.8766,2.19312,0.008515,0.008515,0.008515
32,789.883,0.96068,0.48511,0.89362,2.24927,0.0084655,0.0084655,0.0084655
33,814.244,0.91774,0.49787,0.90638,2.20703,0.008416,0.008416,0.008416
34,838.49,0.8997,0.58298,0.94894,2.1377,0.0083665,0.0083665,0.0083665
35,862.636,0.91009,0.5234,0.95319,2.16187,0.008317,0.008317,0.008317
36,886.901,0.88467,0.46383,0.88085,2.20825,0.0082675,0.0082675,0.0082675
37,911.101,0.86136,0.56596,0.94894,2.12842,0.008218,0.008218,0.008218
38,935.38,0.82222,0.53617,0.90213,2.1355,0.0081685,0.0081685,0.0081685
39,959.695,0.78756,0.47234,0.88085,2.19946,0.008119,0.008119,0.008119
40,983.933,0.79083,0.46383,0.91489,2.1958,0.0080695,0.0080695,0.0080695
41,1008.27,0.7547,0.51915,0.90638,2.16431,0.00802,0.00802,0.00802
42,1032.63,0.76459,0.55745,0.91489,2.11279,0.0079705,0.0079705,0.0079705
43,1057.02,0.71944,0.48085,0.8766,2.19434,0.007921,0.007921,0.007921
44,1081.29,0.71786,0.60426,0.93617,2.10034,0.0078715,0.0078715,0.0078715
45,1105.64,0.68616,0.48936,0.89787,2.18823,0.007822,0.007822,0.007822
46,1129.96,0.66148,0.51915,0.87234,2.14941,0.0077725,0.0077725,0.0077725
47,1154.31,0.63823,0.50213,0.86809,2.17358,0.007723,0.007723,0.007723
48,1178.6,0.63509,0.51489,0.87234,2.17407,0.0076735,0.0076735,0.0076735
49,1202.97,0.60643,0.51064,0.85957,2.1543,0.007624,0.007624,0.007624
50,1227.32,0.57553,0.45957,0.86809,2.21875,0.0075745,0.0075745,0.0075745
51,1251.71,0.56007,0.41702,0.77021,2.23218,0.007525,0.007525,0.007525
52,1276.05,0.60935,0.4383,0.85106,2.21973,0.0074755,0.0074755,0.0074755
53,1300.43,0.54862,0.50638,0.88936,2.17578,0.007426,0.007426,0.007426
54,1324.79,0.52647,0.42553,0.86809,2.22705,0.0073765,0.0073765,0.0073765
55,1349.12,0.54781,0.43404,0.83404,2.22803,0.007327,0.007327,0.007327
56,1373.56,0.53012,0.41702,0.8383,2.23169,0.0072775,0.0072775,0.0072775
57,1397.87,0.48566,0.45532,0.86383,2.19434,0.007228,0.007228,0.007228
58,1422.17,0.46891,0.54468,0.90213,2.13843,0.0071785,0.0071785,0.0071785
59,1446.28,0.46403,0.51064,0.90213,2.1604,0.007129,0.007129,0.007129
60,1470.39,0.45372,0.43404,0.84681,2.19458,0.0070795,0.0070795,0.0070795
61,1494.63,0.45193,0.50638,0.91064,2.16309,0.00703,0.00703,0.00703
62,1518.96,0.4183,0.41277,0.84255,2.22095,0.0069805,0.0069805,0.0069805
63,1543.21,0.42283,0.44255,0.8383,2.20679,0.006931,0.006931,0.006931
64,1567.53,0.40298,0.43404,0.84681,2.2063,0.0068815,0.0068815,0.0068815
65,1591.86,0.43918,0.45957,0.85532,2.20215,0.006832,0.006832,0.006832
66,1616.27,0.38203,0.51915,0.88936,2.17554,0.0067825,0.0067825,0.0067825
67,1640.62,0.39542,0.42979,0.85532,2.21411,0.006733,0.006733,0.006733
68,1664.93,0.41239,0.49362,0.86383,2.16553,0.0066835,0.0066835,0.0066835
69,1689.37,0.35408,0.48085,0.86383,2.1637,0.006634,0.006634,0.006634
70,1713.58,0.36975,0.45532,0.85957,2.2146,0.0065845,0.0065845,0.0065845
71,1737.76,0.39622,0.46383,0.85957,2.19556,0.006535,0.006535,0.006535
72,1762.12,0.34748,0.46383,0.87234,2.21606,0.0064855,0.0064855,0.0064855
73,1786.5,0.34027,0.42128,0.87234,2.25049,0.006436,0.006436,0.006436
74,1810.8,0.35782,0.45106,0.8766,2.17041,0.0063865,0.0063865,0.0063865
75,1835.13,0.34361,0.42553,0.82979,2.20386,0.006337,0.006337,0.006337
76,1859.34,0.32789,0.44681,0.85106,2.19409,0.0062875,0.0062875,0.0062875
77,1883.74,0.31042,0.4,0.81277,2.22217,0.006238,0.006238,0.006238
78,1907.98,0.31846,0.45106,0.88511,2.19678,0.0061885,0.0061885,0.0061885
79,1932.29,0.29354,0.43404,0.86383,2.19043,0.006139,0.006139,0.006139
80,1956.72,0.30057,0.43404,0.8766,2.20557,0.0060895,0.0060895,0.0060895
81,1980.91,0.29481,0.42553,0.81702,2.18372,0.00604,0.00604,0.00604
82,2005.29,0.28479,0.41277,0.80426,2.23755,0.0059905,0.0059905,0.0059905
83,2029.65,0.2847,0.45957,0.84681,2.18799,0.005941,0.005941,0.005941
84,2054.33,0.27534,0.41702,0.83404,2.21436,0.0058915,0.0058915,0.0058915
85,2079.33,0.28323,0.49362,0.87234,2.19189,0.005842,0.005842,0.005842
86,2103.94,0.27082,0.41702,0.85532,2.20776,0.0057925,0.0057925,0.0057925
87,2128.41,0.22965,0.4766,0.89362,2.1709,0.005743,0.005743,0.005743
88,2152.73,0.25063,0.50213,0.90638,2.17432,0.0056935,0.0056935,0.0056935
89,2177.14,0.25395,0.43404,0.82128,2.19751,0.005644,0.005644,0.005644
90,2201.34,0.25937,0.46383,0.86809,2.18994,0.0055945,0.0055945,0.0055945
91,2225.58,0.24039,0.43404,0.80851,2.19629,0.005545,0.005545,0.005545
92,2249.85,0.23823,0.42128,0.83404,2.20581,0.0054955,0.0054955,0.0054955
93,2273.96,0.19551,0.40426,0.82979,2.23291,0.005446,0.005446,0.005446
94,2298.43,0.22551,0.42979,0.81702,2.21924,0.0053965,0.0053965,0.0053965
95,2322.81,0.23281,0.38723,0.85106,2.24292,0.005347,0.005347,0.005347
96,2347.33,0.22712,0.41277,0.80426,2.23096,0.0052975,0.0052975,0.0052975
97,2371.75,0.20318,0.4,0.81277,2.21362,0.005248,0.005248,0.005248
98,2396.23,0.194,0.44681,0.81277,2.20825,0.0051985,0.0051985,0.0051985
99,2420.58,0.21185,0.41277,0.82128,2.24634,0.005149,0.005149,0.005149
100,2445.34,0.19466,0.46383,0.83404,2.17944,0.0050995,0.0050995,0.0050995
101,2470.7,0.18519,0.43404,0.84681,2.21704,0.00505,0.00505,0.00505
102,2495.24,0.18477,0.42979,0.80426,2.19629,0.0050005,0.0050005,0.0050005
103,2519.66,0.17999,0.4766,0.82979,2.17505,0.004951,0.004951,0.004951
104,2543.96,0.18346,0.42553,0.81702,2.20581,0.0049015,0.0049015,0.0049015
105,2568.42,0.16315,0.40851,0.80426,2.19604,0.004852,0.004852,0.004852
106,2593,0.15196,0.43404,0.84681,2.18213,0.0048025,0.0048025,0.0048025
107,2617.52,0.14727,0.45106,0.82979,2.16943,0.004753,0.004753,0.004753
108,2642.18,0.13773,0.40426,0.84255,2.20923,0.0047035,0.0047035,0.0047035
109,2666.77,0.17269,0.42979,0.85532,2.19849,0.004654,0.004654,0.004654
110,2692.41,0.16385,0.38723,0.79149,2.21509,0.0046045,0.0046045,0.0046045
111,2716.95,0.17192,0.44255,0.82128,2.17847,0.004555,0.004555,0.004555
112,2743.57,0.15894,0.42979,0.78723,2.20996,0.0045055,0.0045055,0.0045055
113,2768.09,0.15447,0.42128,0.80426,2.21729,0.004456,0.004456,0.004456
114,2792.82,0.15546,0.4383,0.79149,2.23218,0.0044065,0.0044065,0.0044065
115,2817.29,0.12866,0.41702,0.76596,2.23657,0.004357,0.004357,0.004357
116,2841.88,0.12899,0.42979,0.77872,2.2168,0.0043075,0.0043075,0.0043075
117,2866.32,0.13472,0.37447,0.78298,2.24585,0.004258,0.004258,0.004258
118,2890.8,0.13302,0.41702,0.80851,2.21851,0.0042085,0.0042085,0.0042085
119,2915.17,0.13459,0.42979,0.78298,2.21167,0.004159,0.004159,0.004159
120,2939.77,0.13851,0.41277,0.80426,2.21387,0.0041095,0.0041095,0.0041095
121,2964.09,0.12952,0.4383,0.85532,2.20508,0.00406,0.00406,0.00406
122,2988.32,0.11989,0.42979,0.82128,2.21387,0.0040105,0.0040105,0.0040105
123,3012.76,0.1125,0.42553,0.82128,2.20752,0.003961,0.003961,0.003961
124,3037.02,0.11686,0.34043,0.79574,2.2644,0.0039115,0.0039115,0.0039115
125,3061.54,0.1086,0.38298,0.82979,2.26318,0.003862,0.003862,0.003862
126,3086.2,0.10236,0.40851,0.80851,2.22778,0.0038125,0.0038125,0.0038125
127,3110.52,0.1198,0.38723,0.79574,2.22925,0.003763,0.003763,0.003763
128,3134.73,0.10485,0.42553,0.83404,2.20142,0.0037135,0.0037135,0.0037135
129,3159.09,0.10582,0.4383,0.8383,2.20972,0.003664,0.003664,0.003664
130,3183.75,0.09693,0.42979,0.82128,2.21313,0.0036145,0.0036145,0.0036145
131,3208.26,0.10365,0.42979,0.8383,2.20557,0.003565,0.003565,0.003565
132,3232.75,0.09968,0.42553,0.83404,2.21338,0.0035155,0.0035155,0.0035155
133,3257.05,0.10371,0.39149,0.82979,2.21997,0.003466,0.003466,0.003466
134,3281.56,0.09993,0.40426,0.84255,2.22144,0.0034165,0.0034165,0.0034165
135,3306.12,0.081,0.41702,0.84681,2.21973,0.003367,0.003367,0.003367
136,3330.35,0.08552,0.43404,0.85532,2.21899,0.0033175,0.0033175,0.0033175
137,3354.8,0.08255,0.4383,0.82979,2.20264,0.003268,0.003268,0.003268
138,3379.12,0.09166,0.43404,0.80851,2.19482,0.0032185,0.0032185,0.0032185
139,3403.28,0.07969,0.42553,0.81277,2.22217,0.003169,0.003169,0.003169
140,3427.62,0.08471,0.42128,0.82553,2.20337,0.0031195,0.0031195,0.0031195
141,3457.49,0.08653,0.45532,0.82553,2.2168,0.00307,0.00307,0.00307
142,3490.66,0.08048,0.42553,0.79574,2.23706,0.0030205,0.0030205,0.0030205
143,3523.92,0.06388,0.39574,0.79149,2.24243,0.002971,0.002971,0.002971
144,3557.26,0.07258,0.41277,0.79574,2.24243,0.0029215,0.0029215,0.0029215
145,3590.73,0.05975,0.43404,0.80426,2.22998,0.002872,0.002872,0.002872
146,3624.32,0.07153,0.42553,0.81277,2.22412,0.0028225,0.0028225,0.0028225
147,3657.71,0.06679,0.46383,0.82128,2.20776,0.002773,0.002773,0.002773
148,3691.02,0.06805,0.44255,0.82128,2.22314,0.0027235,0.0027235,0.0027235
149,3724.33,0.05495,0.40851,0.78723,2.24072,0.002674,0.002674,0.002674
150,3757.39,0.06689,0.4,0.8,2.23706,0.0026245,0.0026245,0.0026245
151,3789.24,0.06705,0.37021,0.8,2.26001,0.002575,0.002575,0.002575
152,3814.71,0.05268,0.3617,0.79574,2.26172,0.0025255,0.0025255,0.0025255
153,3839.43,0.04888,0.36596,0.78298,2.24927,0.002476,0.002476,0.002476
154,3864.05,0.06498,0.37447,0.77021,2.24023,0.0024265,0.0024265,0.0024265
155,3888.29,0.05358,0.4,0.77447,2.24561,0.002377,0.002377,0.002377
156,3912.65,0.05023,0.40426,0.79149,2.23486,0.0023275,0.0023275,0.0023275
157,3937.14,0.05108,0.39574,0.79149,2.24121,0.002278,0.002278,0.002278
158,3961.58,0.04809,0.38298,0.78298,2.22119,0.0022285,0.0022285,0.0022285
159,3986.06,0.05948,0.39574,0.78298,2.24219,0.002179,0.002179,0.002179
160,4010.51,0.05438,0.39149,0.78298,2.24512,0.0021295,0.0021295,0.0021295
161,4034.99,0.05139,0.39574,0.79574,2.22266,0.00208,0.00208,0.00208
162,4062.9,0.05107,0.40851,0.79149,2.24463,0.0020305,0.0020305,0.0020305
163,4097.12,0.04969,0.40851,0.79149,2.23755,0.001981,0.001981,0.001981
164,4131.04,0.05378,0.40851,0.77447,2.23779,0.0019315,0.0019315,0.0019315
165,4164.98,0.03655,0.39149,0.78298,2.23633,0.001882,0.001882,0.001882
166,4199.22,0.04133,0.39574,0.78723,2.23804,0.0018325,0.0018325,0.0018325
167,4233.19,0.04858,0.39574,0.79574,2.22681,0.001783,0.001783,0.001783
168,4267.11,0.0458,0.40426,0.78723,2.23926,0.0017335,0.0017335,0.0017335
169,4301.25,0.03896,0.4,0.79149,2.21948,0.001684,0.001684,0.001684
170,4335.25,0.04441,0.40426,0.8,2.21924,0.0016345,0.0016345,0.0016345
171,4368.99,0.03987,0.41702,0.79149,2.22559,0.001585,0.001585,0.001585
172,4403.14,0.0413,0.40426,0.81277,2.21948,0.0015355,0.0015355,0.0015355
173,4437.12,0.04476,0.41702,0.80851,2.23853,0.001486,0.001486,0.001486
174,4471.22,0.03885,0.41277,0.80426,2.22949,0.0014365,0.0014365,0.0014365
175,4505.49,0.0371,0.39574,0.79149,2.23071,0.001387,0.001387,0.001387
176,4539.62,0.03126,0.39574,0.78298,2.22241,0.0013375,0.0013375,0.0013375
177,4573.6,0.04323,0.39574,0.78298,2.24146,0.001288,0.001288,0.001288
178,4607.6,0.03809,0.39149,0.77872,2.24194,0.0012385,0.0012385,0.0012385
179,4641.69,0.03299,0.37872,0.78298,2.24438,0.001189,0.001189,0.001189
180,4675.64,0.03784,0.38298,0.78298,2.24805,0.0011395,0.0011395,0.0011395
181,4709.69,0.03136,0.37447,0.77872,2.24609,0.00109,0.00109,0.00109
182,4743.78,0.03799,0.36596,0.77021,2.25244,0.0010405,0.0010405,0.0010405
183,4777.84,0.04173,0.34043,0.77447,2.25073,0.000991,0.000991,0.000991
184,4811.93,0.0314,0.34468,0.78298,2.2688,0.0009415,0.0009415,0.0009415
185,4845.97,0.02432,0.34468,0.78298,2.24512,0.000892,0.000892,0.000892
186,4880.01,0.03163,0.35745,0.79149,2.23132,0.0008425,0.0008425,0.0008425
187,4914.14,0.03366,0.37021,0.79149,2.24902,0.000793,0.000793,0.000793
188,4948.28,0.03554,0.35745,0.78298,2.26001,0.0007435,0.0007435,0.0007435
189,4982.16,0.03193,0.35745,0.78298,2.26392,0.000694,0.000694,0.000694
190,5016.29,0.03315,0.3617,0.78723,2.26782,0.0006445,0.0006445,0.0006445
191,5051.67,0.02769,0.36596,0.78723,2.26538,0.000595,0.000595,0.000595
192,5085.92,0.02953,0.3617,0.78298,2.28491,0.0005455,0.0005455,0.0005455
193,5120.32,0.03455,0.35745,0.79574,2.26929,0.000496,0.000496,0.000496
194,5154.77,0.02664,0.3617,0.79149,2.2627,0.0004465,0.0004465,0.0004465
195,5189.31,0.02551,0.3617,0.79149,2.26978,0.000397,0.000397,0.000397
196,5223.68,0.02731,0.35745,0.78723,2.27246,0.0003475,0.0003475,0.0003475
197,5258.19,0.0325,0.35319,0.77872,2.2644,0.000298,0.000298,0.000298
198,5292.49,0.02708,0.34894,0.77872,2.27319,0.0002485,0.0002485,0.0002485
199,5326.57,0.02164,0.35319,0.78298,2.27759,0.000199,0.000199,0.000199
200,5360.58,0.02392,0.34894,0.77872,2.28223,0.0001495,0.0001495,0.0001495
