epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
73,2397.47,0.34027,0.42128,0.87234,2.25049,0.006436,0.006436,0.006436
74,2430.15,0.35782,0.45106,0.8766,2.17041,0.0063865,0.0063865,0.0063865
75,2462.94,0.34361,0.42553,0.82979,2.20386,0.006337,0.006337,0.006337
76,2495.66,0.32789,0.44681,0.85106,2.19409,0.0062875,0.0062875,0.0062875
77,2528.4,0.31042,0.4,0.81277,2.22217,0.006238,0.006238,0.006238
78,2561.06,0.31846,0.45106,0.88511,2.19678,0.0061885,0.0061885,0.0061885
79,2593.74,0.29354,0.43404,0.86383,2.19043,0.006139,0.006139,0.006139
80,2626.67,0.30057,0.43404,0.8766,2.20557,0.0060895,0.0060895,0.0060895
81,2659.38,0.29481,0.42553,0.81702,2.18372,0.00604,0.00604,0.00604
82,2692.35,0.28479,0.41277,0.80426,2.23755,0.0059905,0.0059905,0.0059905
83,2725,0.2847,0.45957,0.84681,2.18799,0.005941,0.005941,0.005941
84,2757.73,0.27534,0.41702,0.83404,2.21436,0.0058915,0.0058915,0.0058915
85,2790.38,0.28323,0.49362,0.87234,2.19189,0.005842,0.005842,0.005842
86,2822.98,0.27082,0.41702,0.85532,2.20776,0.0057925,0.0057925,0.0057925
87,2855.58,0.22965,0.4766,0.89362,2.1709,0.005743,0.005743,0.005743
88,2888.13,0.25063,0.50213,0.90638,2.17432,0.0056935,0.0056935,0.0056935
89,2920.89,0.25395,0.43404,0.82128,2.19751,0.005644,0.005644,0.005644
90,2953.72,0.25937,0.46383,0.86809,2.18994,0.0055945,0.0055945,0.0055945
91,2986.4,0.24039,0.43404,0.80851,2.19629,0.005545,0.005545,0.005545
92,3019.06,0.23823,0.42128,0.83404,2.20581,0.0054955,0.0054955,0.0054955
93,3051.73,0.19551,0.40426,0.82979,2.23291,0.005446,0.005446,0.005446
94,3084.35,0.22551,0.42979,0.81702,2.21924,0.0053965,0.0053965,0.0053965
95,3116.75,0.23281,0.38723,0.85106,2.24292,0.005347,0.005347,0.005347
96,3149.13,0.22712,0.41277,0.80426,2.23096,0.0052975,0.0052975,0.0052975
97,3181.78,0.20318,0.4,0.81277,2.21362,0.005248,0.005248,0.005248
98,3203.08,0.194,0.44681,0.81277,2.20825,0.0051985,0.0051985,0.0051985
99,3225.04,0.21185,0.41277,0.82128,2.24634,0.005149,0.005149,0.005149
100,3246,0.19466,0.46383,0.83404,2.17944,0.0050995,0.0050995,0.0050995
101,3267.51,0.18519,0.43404,0.84681,2.21704,0.00505,0.00505,0.00505
102,3288.7,0.18477,0.42979,0.80426,2.19629,0.0050005,0.0050005,0.0050005
103,3309.7,0.17999,0.4766,0.82979,2.17505,0.004951,0.004951,0.004951
104,3330.25,0.18346,0.42553,0.81702,2.20581,0.0049015,0.0049015,0.0049015
105,3351.25,0.16315,0.40851,0.80426,2.19604,0.004852,0.004852,0.004852
106,3371.97,0.15196,0.43404,0.84681,2.18213,0.0048025,0.0048025,0.0048025
107,3392.85,0.14727,0.45106,0.82979,2.16943,0.004753,0.004753,0.004753
108,3413.6,0.13773,0.40426,0.84255,2.20923,0.0047035,0.0047035,0.0047035
109,3434.16,0.17269,0.42979,0.85532,2.19849,0.004654,0.004654,0.004654
110,3454.73,0.16385,0.38723,0.79149,2.21509,0.0046045,0.0046045,0.0046045
111,3475.67,0.17192,0.44255,0.82128,2.17847,0.004555,0.004555,0.004555
112,3496.27,0.15894,0.42979,0.78723,2.20996,0.0045055,0.0045055,0.0045055
113,3517.03,0.15447,0.42128,0.80426,2.21729,0.004456,0.004456,0.004456
114,3537.83,0.15546,0.4383,0.79149,2.23218,0.0044065,0.0044065,0.0044065
115,3559.02,0.12866,0.41702,0.76596,2.23657,0.004357,0.004357,0.004357
116,3579.68,0.12899,0.42979,0.77872,2.2168,0.0043075,0.0043075,0.0043075
117,3599.98,0.13472,0.37447,0.78298,2.24585,0.004258,0.004258,0.004258
118,3620.92,0.13302,0.41702,0.80851,2.21851,0.0042085,0.0042085,0.0042085
119,3641.96,0.13459,0.42979,0.78298,2.21167,0.004159,0.004159,0.004159
120,3663.03,0.13851,0.41277,0.80426,2.21387,0.0041095,0.0041095,0.0041095
121,3684.19,0.12952,0.4383,0.85532,2.20508,0.00406,0.00406,0.00406
122,3705.12,0.11989,0.42979,0.82128,2.21387,0.0040105,0.0040105,0.0040105
123,3725.44,0.1125,0.42553,0.82128,2.20752,0.003961,0.003961,0.003961
124,3746.68,0.11686,0.34043,0.79574,2.2644,0.0039115,0.0039115,0.0039115
125,3767.72,0.1086,0.38298,0.82979,2.26318,0.003862,0.003862,0.003862
126,3788.88,0.10236,0.40851,0.80851,2.22778,0.0038125,0.0038125,0.0038125
127,3809.49,0.1198,0.38723,0.79574,2.22925,0.003763,0.003763,0.003763
128,3830.29,0.10485,0.42553,0.83404,2.20142,0.0037135,0.0037135,0.0037135
129,3851.71,0.10582,0.4383,0.8383,2.20972,0.003664,0.003664,0.003664
130,3872.62,0.09693,0.42979,0.82128,2.21313,0.0036145,0.0036145,0.0036145
131,3894.87,0.10365,0.42979,0.8383,2.20557,0.003565,0.003565,0.003565
132,3916.02,0.09968,0.42553,0.83404,2.21338,0.0035155,0.0035155,0.0035155
133,3936.9,0.10371,0.39149,0.82979,2.21997,0.003466,0.003466,0.003466
134,3958.06,0.09993,0.40426,0.84255,2.22144,0.0034165,0.0034165,0.0034165
135,3978.64,0.081,0.41702,0.84681,2.21973,0.003367,0.003367,0.003367
136,3999.2,0.08552,0.43404,0.85532,2.21899,0.0033175,0.0033175,0.0033175
137,4019.62,0.08255,0.4383,0.82979,2.20264,0.003268,0.003268,0.003268
138,4040.17,0.09166,0.43404,0.80851,2.19482,0.0032185,0.0032185,0.0032185
139,4060.89,0.07969,0.42553,0.81277,2.22217,0.003169,0.003169,0.003169
140,4081.41,0.08471,0.42128,0.82553,2.20337,0.0031195,0.0031195,0.0031195
141,4101.96,0.08653,0.45532,0.82553,2.2168,0.00307,0.00307,0.00307
142,4122.96,0.08048,0.42553,0.79574,2.23706,0.0030205,0.0030205,0.0030205
143,4143.88,0.06388,0.39574,0.79149,2.24243,0.002971,0.002971,0.002971
144,4165.15,0.07258,0.41277,0.79574,2.24243,0.0029215,0.0029215,0.0029215
145,4185.67,0.05975,0.43404,0.80426,2.22998,0.002872,0.002872,0.002872
146,4205.94,0.07153,0.42553,0.81277,2.22412,0.0028225,0.0028225,0.0028225
147,4227.09,0.06679,0.46383,0.82128,2.20776,0.002773,0.002773,0.002773
148,4247.74,0.06805,0.44255,0.82128,2.22314,0.0027235,0.0027235,0.0027235
149,4268.67,0.05495,0.40851,0.78723,2.24072,0.002674,0.002674,0.002674
150,4289.19,0.06689,0.4,0.8,2.23706,0.0026245,0.0026245,0.0026245
151,4310.33,0.06705,0.37021,0.8,2.26001,0.002575,0.002575,0.002575
152,4331.34,0.05268,0.3617,0.79574,2.26172,0.0025255,0.0025255,0.0025255
