epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,71.0764,2.43661,0.35745,0.79149,2.39355,0.000235856,0.000235856,0.000235856
2,120.841,2.15,0.45532,0.86383,2.27539,0.000464474,0.000464474,0.000464474
3,161.291,1.91103,0.48085,0.86383,2.26172,0.000683666,0.000683666,0.000683666
4,202.152,1.79954,0.5617,0.94468,2.13184,0.000671588,0.000671588,0.000671588
5,245.644,1.63464,0.54894,0.88511,2.17578,0.000657451,0.000657451,0.000657451
6,286.892,1.46644,0.59149,0.94043,2.19434,0.000643314,0.000643314,0.000643314
7,330.089,1.39115,0.61702,0.90213,2.21533,0.000629177,0.000629177,0.000629177
8,372.794,1.2784,0.62979,0.94043,2.09082,0.00061504,0.00061504,0.00061504
9,415.551,1.18146,0.6383,0.95745,2.12939,0.000600902,0.000600902,0.000600902
10,458.926,1.06965,0.63404,0.94894,2.11133,0.000586765,0.000586765,0.000586765
11,501.814,1.0307,0.68085,0.89787,2.13037,0.000572628,0.000572628,0.000572628
12,543.165,0.97007,0.69362,0.95319,2.06934,0.000558491,0.000558491,0.000558491
13,586.823,0.90251,0.68936,0.9234,2.03857,0.000544354,0.000544354,0.000544354
14,623.791,0.83919,0.68085,0.88085,2.08252,0.000530216,0.000530216,0.000530216
15,657.426,0.77527,0.56596,0.8766,2.13965,0.000516079,0.000516079,0.000516079
16,689.903,0.73982,0.6383,0.89787,2.11963,0.000501942,0.000501942,0.000501942
17,722.905,0.67915,0.64681,0.86383,2.13232,0.000487805,0.000487805,0.000487805
18,755.43,0.6594,0.69787,0.91915,2.09375,0.000473668,0.000473668,0.000473668
19,789.092,0.58398,0.70638,0.91064,2.05469,0.00045953,0.00045953,0.00045953
20,821.956,0.52646,0.66383,0.88936,2.09766,0.000445393,0.000445393,0.000445393
21,854.199,0.48891,0.66809,0.88511,2.07178,0.000431256,0.000431256,0.000431256
22,887.044,0.46236,0.74894,0.94468,2.0437,0.000417119,0.000417119,0.000417119
23,920.684,0.45243,0.64255,0.92766,2.10986,0.000402982,0.000402982,0.000402982
24,954.016,0.43643,0.64255,0.88085,2.08643,0.000388844,0.000388844,0.000388844
25,986.642,0.37619,0.65106,0.89787,2.10059,0.000374707,0.000374707,0.000374707
26,1019.58,0.38223,0.64255,0.89787,2.09863,0.00036057,0.00036057,0.00036057
27,1051.87,0.33261,0.64681,0.89362,2.07764,0.000346433,0.000346433,0.000346433
28,1085.55,0.30519,0.6383,0.88085,2.09131,0.000332296,0.000332296,0.000332296
29,1118.25,0.31607,0.65106,0.89362,2.06299,0.000318158,0.000318158,0.000318158
30,1150.31,0.28837,0.63404,0.8766,2.08105,0.000304021,0.000304021,0.000304021
31,1183.6,0.29212,0.64255,0.8766,2.08838,0.000289884,0.000289884,0.000289884
32,1216.9,0.25731,0.64255,0.8766,2.10791,0.000275747,0.000275747,0.000275747
33,1249.99,0.25118,0.62553,0.87234,2.08594,0.00026161,0.00026161,0.00026161
34,1282.23,0.2166,0.62979,0.88936,2.08789,0.000247472,0.000247472,0.000247472
35,1315.16,0.21947,0.64681,0.87234,2.07666,0.000233335,0.000233335,0.000233335
36,1347.87,0.18012,0.61277,0.89362,2.08545,0.000219198,0.000219198,0.000219198
37,1380.32,0.19572,0.57447,0.85532,2.13477,0.000205061,0.000205061,0.000205061
38,1413.26,0.18759,0.58723,0.8766,2.10498,0.000190924,0.000190924,0.000190924
39,1446.36,0.17193,0.62553,0.89362,2.0791,0.000176786,0.000176786,0.000176786
40,1479.11,0.16374,0.59574,0.88511,2.09473,0.000162649,0.000162649,0.000162649
41,1515.35,0.16222,0.60426,0.88511,2.0957,0.000148512,0.000148512,0.000148512
42,1548.16,0.13789,0.60426,0.8766,2.09961,0.000134375,0.000134375,0.000134375
43,1580.66,0.1427,0.60851,0.88936,2.11084,0.000120238,0.000120238,0.000120238
44,1612.96,0.13222,0.6,0.88511,2.10107,0.0001061,0.0001061,0.0001061
45,1645.49,0.12806,0.60851,0.88085,2.1123,9.19632e-05,9.19632e-05,9.19632e-05
46,1677.97,0.11594,0.6383,0.87234,2.09668,7.7826e-05,7.7826e-05,7.7826e-05
47,1710.87,0.11377,0.61702,0.88936,2.09766,6.36888e-05,6.36888e-05,6.36888e-05
48,1743.41,0.11864,0.61702,0.90638,2.09277,4.95516e-05,4.95516e-05,4.95516e-05
49,1775.93,0.14023,0.59574,0.87234,2.09229,3.54144e-05,3.54144e-05,3.54144e-05
50,1808.57,0.12167,0.61277,0.88936,2.0957,2.12772e-05,2.12772e-05,2.12772e-05
