epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.7399,2.46569,0.19574,0.68085,2.44287,0.00331825,0.00331825,0.00331825
2,67.728,2.37668,0.40426,0.79149,2.33936,0.00661866,0.00661866,0.00661866
3,97.5696,2.28179,0.4383,0.88085,2.24878,0.00988607,0.00988607,0.00988607
4,127.342,2.13995,0.46383,0.89787,2.23364,0.0098515,0.0098515,0.0098515
5,157.608,1.96036,0.59574,0.94894,2.17456,0.009802,0.009802,0.009802
6,187.604,1.85178,0.44255,0.89787,2.2749,0.0097525,0.0097525,0.0097525
7,218.325,1.74014,0.54468,0.90638,2.17358,0.009703,0.009703,0.009703
8,254.112,1.66941,0.68085,0.93617,2.07312,0.0096535,0.0096535,0.0096535
9,321.201,1.59407,0.65106,0.95745,2.11011,0.009604,0.009604,0.009604
10,380.217,1.49539,0.65532,0.9617,2.09204,0.0095545,0.0095545,0.0095545
11,427.335,1.43408,0.64255,0.95745,2.12646,0.009505,0.009505,0.009505
12,472.051,1.40167,0.57447,0.87234,2.17236,0.0094555,0.0094555,0.0094555
13,511.703,1.32212,0.67234,0.97021,2.06616,0.009406,0.009406,0.009406
14,541.74,1.27459,0.65106,0.91915,2.07458,0.0093565,0.0093565,0.0093565
15,572.43,1.23133,0.69787,0.96596,2.03894,0.009307,0.009307,0.009307
16,603.828,1.20891,0.65532,0.95319,2.09204,0.0092575,0.0092575,0.0092575
17,636.501,1.12427,0.65106,0.95319,2.06274,0.009208,0.009208,0.009208
18,671.472,1.12649,0.56596,0.92766,2.14307,0.0091585,0.0091585,0.0091585
19,702.646,1.08308,0.69787,0.95319,2.02991,0.009109,0.009109,0.009109
20,733.268,1.00419,0.62553,0.90638,2.11377,0.0090595,0.0090595,0.0090595
21,763.476,1.00323,0.61277,0.94043,2.06421,0.00901,0.00901,0.00901
22,794.291,0.97142,0.6,0.91915,2.11523,0.0089605,0.0089605,0.0089605
23,825.798,0.92507,0.54894,0.91064,2.16968,0.008911,0.008911,0.008911
24,856.556,0.9206,0.70638,0.94043,2.03259,0.0088615,0.0088615,0.0088615
25,887.115,0.86753,0.61702,0.91489,2.0802,0.008812,0.008812,0.008812
